pc4,INWONER,GEM_HH_GR,AV5_HORECA,OAD,median_inc,cluster,level_zip
2512,14060.0,1.7,1677.6,8412.0,34300.0,2,645
2513,7860.0,1.7,1720.3000000000002,7712.0,27300.0,3,646
2514,3575.0,1.5,1723.6000000000001,4917.0,20600.0,3,647
2515,12950.0,1.8,1594.0,7104.0,26800.0,1,648
2516,10800.0,1.8,1427.3999999999999,5153.0,27600.0,2,649
2517,9785.0,1.8,1657.6999999999998,5901.0,26600.0,2,650
2518,11150.0,1.7,1700.7,6896.0,24700.0,3,651
2521,10155.0,1.6,1558.4,6954.0,21900.0,1,652
2522,12585.0,1.9,1499.6,6311.0,22400.0,3,653
2523,5660.0,2.0,1510.6,5553.0,21000.0,1,654
2524,7005.0,2.2,1453.3,4617.0,20800.0,2,655
2525,15610.0,2.4,1631.5,7367.0,22000.0,3,656
2526,13210.0,2.2,1657.6,8214.0,24300.0,3,657
2531,9140.0,2.0,1470.9,4533.0,24100.0,1,658
2532,5965.0,1.9,1175.3000000000002,3917.0,23600.0,2,659
2533,7205.0,1.9,1351.5,4247.0,27000.0,2,660
2541,7960.0,1.9,1019.1999999999999,4139.0,32700.0,1,661
2542,10435.0,2.1,452.20000000000005,3237.0,29400.0,1,662
2543,6595.0,2.1,484.8,3601.0,46500.0,2,663
2544,11920.0,2.0,605.2,3357.0,29000.0,3,664
2545,11790.0,2.0,992.1000000000001,4510.0,33800.0,2,665
2546,6015.0,2.0,1476.4,5460.0,31100.0,2,666
2547,7415.0,1.8,1448.9,5973.0,44900.0,3,667
2548,22160.0,2.7,309.6,2537.0,31000.0,2,668
2551,11145.0,1.9,565.9,4493.0,31600.0,3,669
2552,16175.0,2.1,717.5,4173.0,24700.0,3,670
2553,8940.0,2.0,323.1,2386.0,29500.0,1,671
2554,1870.0,2.0,441.1,1595.0,40900.0,3,672
2555,9030.0,1.6,702.5,3751.0,36600.0,3,673
2561,5450.0,1.9,1648.5,7955.0,53900.0,2,674
2562,10935.0,1.8,1648.9,8592.0,23400.0,3,675
2563,10330.0,1.8,1568.1,7619.0,25800.0,1,676
2564,11540.0,2.1,1216.9,5212.0,28700.0,1,677
2565,12160.0,2.0,1444.0,5402.0,29700.0,3,678
2566,6530.0,2.3,1172.0,3169.0,40500.0,1,679
2571,10560.0,2.0,1637.9,8363.0,47100.0,1,680
2572,9730.0,2.4,1633.2,7492.0,27900.0,3,681
2573,10445.0,2.1,1615.5,7430.0,28500.0,2,682
2574,7240.0,2.0,1577.6,7321.0,39300.0,1,683
2581,3120.0,2.1,1434.6,3902.0,31800.0,3,684
2582,8955.0,2.1,1483.5,4195.0,36300.0,1,685
2583,11200.0,2.0,1225.6,3103.0,26100.0,2,686
2584,6915.0,1.9,1280.1,4249.0,25600.0,2,687
2585,6700.0,1.8,1606.9,3271.0,34100.0,2,688
2586,7790.0,1.8,1046.7,3681.0,46800.0,1,689
2587,8120.0,1.9,974.5,2742.0,32700.0,2,690
2591,7240.0,1.8,715.3,2896.0,58000.0,1,691
2592,6520.0,1.6,956.7,3244.0,47700.0,3,692
2593,8590.0,1.7,1241.9,4021.0,23100.0,3,693
2594,1955.0,1.9,992.8000000000001,3123.0,24800.0,3,694
2595,8420.0,1.8,1371.9,4431.0,25300.0,1,695
2596,7345.0,2.2,1532.9,2557.0,36200.0,3,696
2597,8490.0,1.9,1257.3000000000002,1554.0,38115.6746031746,1,697
2611,12365.0,1.5,377.7,4548.0,36600.0,3,698
2612,9705.0,1.7,386.2,2716.0,31900.0,3,699
2613,13125.0,1.7,380.70000000000005,4519.0,22500.0,1,700
2614,12315.0,2.2,380.20000000000005,3107.0,23700.0,3,701
2616,110.0,2.0,354.20000000000005,1458.0,38115.6746031746,1,702
2622,8025.0,2.1,301.20000000000005,2237.0,36700.0,3,703
2623,5995.0,1.9,312.2,2138.0,20000.0,3,704
2624,13590.0,1.6,326.1,4339.0,30100.0,3,705
2625,13675.0,1.8,322.9,3589.0,50100.0,3,706
2626,55.0,3.1,302.1,1247.0,48100.0,1,707
2627,1245.0,1.9,325.6,3640.0,48500.0,2,708
2628,12650.0,1.5,345.6,2747.0,47700.0,1,709
2629,310.0,1.8,293.9,840.0,41200.0,3,710
2631,15375.0,2.6,100.4,1759.0,54900.0,2,711
2632,3760.0,2.7,84.4,1942.0,36900.0,1,712
2635,8285.0,2.5,346.5,2332.0,50500.0,3,713
2636,4475.0,2.5,59.099999999999994,448.0,45800.0,3,714
2641,13685.0,2.3,59.3,1322.0,53300.0,2,715
2642,8100.0,2.8,60.099999999999994,1524.0,50600.0,1,716
2643,4270.0,2.5,61.1,1425.0,48900.0,1,717
2645,9140.0,2.6,333.5,1220.0,46100.0,3,718
2651,18405.0,2.5,57.400000000000006,1278.0,35500.0,3,719
2652,12675.0,2.8,57.5,1409.0,47900.0,1,720
2661,13310.0,2.6,72.2,1423.0,55400.0,2,721
2662,5140.0,2.7,72.6,1502.0,40300.0,2,722
2665,12065.0,2.5,19.1,979.0,36500.0,3,723
2671,13035.0,2.2,99.1,1897.0,42300.0,2,724
2672,5460.0,2.4,94.5,1536.0,39100.0,2,725
2673,2840.0,2.8,103.1,1475.0,28200.0,3,726
