Restaurant 212,1
Senses,1
Chipsy King,1
Castell,1
Moustache,2
Bruin Cafe 't Centrum,1
Maoz,1
Soenda Kelapa,1
Tashi Deleg,1
Café Bar De Duivel,1
Ristorante Italiano Peppino,1
Cafe Kooper,1
Pesto Presto,1
Zuid Zeeland,2
V.O.F. De Myrabelle,1
Lunch & Diner Restaurant Spelt,2
Kwekkeboom Banketbakkerij Centrum,2
Mythos Greek Restaurant,1
Club Smokey,1
Café Krom,1
Everything on a Stick,2
Toast It,1
Casa Italiana,1
Braziliaans Grill Restaurant,1
Mekong Cafe,2
Ristorante l'Arco,2
De Molenwiek,3
Green Grill & BBQ,2
Coaste Bune - El Rancho,1
Tapas Tia Rosa,1
Restaurant Antonio’s,1
Noon,1
't Singeltje Old Dutch Pancake House,1
Sampurna,1
Irish Pub St. James's Gate,1
Café De Spuyt,1
Hummbar Lobster & Burgers,2
Door 74,1
Cafe in the City,1
Bourbon Street,3
Kaldi,1
Bella Regina,1
Bagels & Wraps,1
Village Bagels,1
Piet de Leeuw,1
Red,1
Lion Noir,1
Kooi Coffeeshop,1
Paper Planes,2
Panini,1
Cue Bar,2
Los Amigos Argentinian Grill & Tapas Restaurant,2
Genroku - All You Can Eat Sushi Restaurant,1
Cafetaria De Prins,1
Casa di Sergio,1
Restaurant Canaletto,1
Café Walem,2
Cafe Restaurant In de Buurt,2
The Old Bell,1
Librije's Zusje Amsterdam,1
Uliveto,1
De Hummus House,2
Ribsfactory Amsterdam,1
Cafe De Waard,1
'cause BEER loves FOOD,1
Restaurant Dynasty,1
Matías,2
Holland Casino,1
Restaurant Boven de Planken,1
La Parrillada,2
Bardot (Keuken),2
Emmanuel Snackbar,1
Museum of Bags and Purses,1
Van Dyck Bar,2
Bo Nam,1
Salsa Shop,1
La Purete coffee Amsterdam,2
The Bulldog,1
Hunter's The Bar,1
Guts & Glory,1
Stach cafe,1
Meghna,1
Vatten Ramen,1
Buffet van Odette,1
Pizzeria IL PALIO,1
Café Mankind,1
Zenzai Sushi,1
VinaFood - Asian Flavours,1
Cafe Aunt Rosie,1
Thai restaurant Bangkok,1
La Cage Amsterdam,2
Alberto's La Forge,2
F. Vork's Groenten & Fruit Traiteur,1
Xtracold Icebar Amsterdam,3
Restaurant Da Antonio,1
Tandoor Indian Restaurant,2
Las Estrellas - Pizza | Pasta | Grill,1
Noodlebar Holland BV,1
Soup en Zo - Spiegel,1
Saturnino,1
Café \'Nasty\',1
Chicano's,1
Restaurant De Sneeker Pan,1
Café Restaurant Morlang,1
Ristorante Pizzeria Piccolino,1
Café t Genootschap der Geneugten,1
Café De Klos,1
Herengracht,1
Pizza Heart,1
Lombardo's,1
Bocca Coffee Roasters,1
Restaurant Dubbel,3
Ali,1
Bouchon du Centre,1
Salsa shop,3
Ron Gastrobar Oriental,1
Rembrandt Bar,1
The Big Apple,1
Café Schiller,1
Shiraz Jardin des Vins | Wijnbar & Boutique,1
HotShots Amsterdam,1
Lavinia Good Food,1
Café Bolle Jan,1
Café De Bazel Ontbijt-Lunch Amsterdam Centrum,1
SLA,1
Hoopman,1
Coco's Outback,1
Restaurant Puri Mas,2
Pier-62 Fish&Chips,1
Tap and Dine,2
Het Feest van Chris,1
Cafe Het Hok,1
Wagamama,1
Bojo Indonesisch Restaurant,1
Cafe Reality,1
Trattoria That's Amore,1
La Maison De L'échappée Belle,1
Rice & Spice Asian Deli,2
"Restaurant DenC, Dik en Cunningham",1
Casa Di Leo,1
Brasil Music Bar,1
Maoz,1
