pc4,labels
5768,1
5801,1
5802,0
5803,0
5804,0
5807,1
5808,0
5809,1
5811,1
5812,1
5813,1
5814,1
5815,0
5816,0
5817,1
5821,0
5823,1
5824,0
5825,1
5826,0
5827,1
5831,0
5835,1
5836,0
5841,1
5843,0
5844,1
5845,1
5846,1
5851,1
5853,1
5854,1
5855,1
5856,1
5861,1
5862,1
5863,1
5864,1
5865,1
5866,1
5871,1
5872,1
5911,0
5912,0
5913,0
5914,0
5915,1
5916,1
5921,0
5922,0
5923,1
5924,0
5925,0
5926,1
5927,1
5928,1
5931,1
5932,1
5935,1
5941,1
5943,1
5944,1
5951,1
5953,0
5954,1
5961,0
5962,1
5963,1
5964,0
5966,1
5971,1
5973,1
5975,1
5976,0
5977,0
5981,1
5984,1
5985,1
5986,1
5987,1
5988,1
5991,0
5993,1
5995,1
6001,1
6002,0
6003,0
6004,0
6005,1
6006,0
6011,1
6012,1
6013,1
6014,1
6015,1
6017,1
6019,1
6021,0
6023,1
6024,1
6026,1
6027,1
6028,1
6029,1
6031,0
6034,1
6035,1
6037,1
6039,0
6041,0
6042,1
6043,0
6044,0
6045,0
6049,0
6051,1
6061,1
6063,1
6065,1
6067,1
6071,1
6074,1
6075,1
6077,1
6081,1
6082,1
6083,1
6085,1
6086,1
6088,1
6089,1
6091,1
6092,0
6093,1
6095,1
6096,1
6097,1
6099,1
6101,1
6102,1
6104,1
6105,1
6107,1
6109,1
6111,1
6112,1
6114,1
6116,1
6118,1
6121,1
6122,1
6123,1
6124,1
6125,1
6127,1
6129,1
6131,0
6132,0
6133,1
6134,1
6135,1
6136,1
6137,0
6141,1
6142,1
6143,1
6151,1
6153,1
6155,1
6161,1
6162,1
6163,1
6164,1
6165,1
6166,1
6167,1
6171,1
6174,1
6176,1
6181,0
6191,0
6199,1
6211,0
6212,0
6213,0
6214,0
6215,1
6216,0
6217,0
6218,0
6219,1
6221,0
6222,0
6223,1
6224,0
6225,1
6226,0
6227,0
6228,0
6229,0
6231,1
6235,1
6237,0
6241,1
6243,1
6245,0
6247,1
6251,0
6252,1
6255,0
6261,1
6262,1
6265,1
6267,1
6268,1
6269,1
6271,1
6273,1
6274,1
6276,1
6277,1
6278,1
6281,1
6285,1
6286,1
6287,1
6289,1
6291,0
6294,1
6295,1
6301,1
6305,1
6307,1
6311,1
6312,1
6321,1
6325,1
6333,1
6336,1
6341,1
6342,1
6343,1
6351,1
6353,1
6361,1
6363,1
6365,1
6367,1
6369,0
6371,0
6372,1
6373,0
6374,0
6411,0
6412,0
6413,1
6414,0
6415,1
6416,1
6417,0
6418,1
6419,1
6421,1
6422,1
6431,0
6432,0
6433,1
6436,1
6438,1
6439,1
6441,1
6442,1
6443,1
6444,1
6445,1
6446,1
6447,1
6451,1
6454,1
6456,1
6461,0
6462,0
6463,1
6464,1
6465,0
6466,0
6467,0
6468,1
6469,1
6471,1
6511,0
6512,0
6515,0
6521,0
6522,0
6523,0
6524,0
6525,0
6531,0
6532,0
6533,1
6534,0
6535,0
6536,0
6537,0
6538,0
