,pc4,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,UITKMINAOW,OAD,P_LINK_HH,P_HINK_HH,AFS_CAFE,AV1_CAFE,AV3_CAFE,AV5_CAFE,AFS_CAFTAR,AV1_CAFTAR,AV3_CAFTAR,AV5_CAFTAR,AFS_HOTEL,AV5_HOTEL,AV10_HOTEL,AV20_HOTEL,AFS_RESTAU,AV1_RESTAU,AV3_RESTAU,AV5_RESTAU,median_inc
144,1314.0,5960.0,2895.0,3065.0,1165.0,665.0,1890.0,1600.0,635.0,50.0,10.0,40.0,2855.0,1190.0,595.0,455.0,600.0,2.1,905.0,1987.0,53.1,8.8,1.1,3.2,22.4,25.6,0.4,9.4,53.1,69.4,1.3,3.9,6.0,12.7,0.3,10.3,65.2,77.4,33800.0
145,1315.0,4080.0,2085.0,1990.0,505.0,490.0,1625.0,890.0,570.0,40.0,10.0,40.0,2240.0,1295.0,460.0,215.0,245.0,1.6,605.0,2449.0,53.4,9.3,0.2,15.1,22.1,27.7,0.1,33.7,58.7,74.8,0.3,4.9,6.0,14.2,0.1,39.2,68.9,83.5,40100.0
146,1316.0,4160.0,2145.0,2015.0,545.0,485.0,975.0,1460.0,695.0,70.0,10.0,20.0,1795.0,485.0,615.0,125.0,560.0,2.3,335.0,1278.0,24.8,27.1,0.7,1.6,18.3,25.3,0.6,2.9,47.3,75.7,2.0,3.8,6.0,12.7,0.5,6.1,56.4,80.8,54300.0
147,1317.0,4060.0,2015.0,2045.0,675.0,480.0,1085.0,1280.0,535.0,60.0,10.0,20.0,1840.0,670.0,465.0,205.0,490.0,2.2,460.0,1016.0,40.5,14.2,0.5,2.4,15.0,25.0,0.5,1.5,37.5,79.8,2.7,3.9,6.0,11.2,0.4,3.3,43.7,80.4,44300.0
148,1318.0,9615.0,4850.0,4765.0,1760.0,1475.0,2520.0,3110.0,750.0,50.0,10.0,40.0,3635.0,995.0,835.0,440.0,1340.0,2.5,830.0,1702.0,30.3,23.9,2.0,0.0,10.2,24.5,0.6,1.8,34.5,84.5,3.0,4.3,6.0,13.8,0.6,1.5,34.6,82.2,39475.54482850594
149,1319.0,6855.0,3480.0,3375.0,1905.0,660.0,2345.0,1680.0,265.0,60.0,10.0,30.0,2435.0,470.0,545.0,185.0,1220.0,2.8,340.0,590.0,16.1,44.6,3.7,0.0,0.2,17.1,0.8,0.7,2.6,38.3,4.5,2.1,5.2,11.9,3.0,0.0,1.9,48.2,36200.0
150,1321.0,9845.0,4975.0,4875.0,1945.0,1550.0,2405.0,3115.0,830.0,50.0,10.0,40.0,3600.0,840.0,670.0,405.0,1665.0,2.7,715.0,1561.0,26.8,30.9,1.7,0.0,7.0,23.9,0.5,1.5,15.7,76.4,1.6,4.0,8.0,23.2,0.5,1.4,18.2,81.7,29300.0
151,1322.0,4266.460346994078,2121.724967062585,2144.751224451878,670.5840094172095,529.6647865391161,1045.4039702423818,1199.0324632403394,821.7326323091094,85.51036033967705,7.797134662100191,5.184562967302163,1954.124798062217,744.2621472686784,559.2441763986495,141.08102303650313,499.79993350088944,2.3066366518400865,350.7344168175935,750.0,34.380125572779626,23.06214024076269,1.957854406992576,1.4587540486462114,8.376022295328378,20.862838283071888,1.7711272041195716,2.3433789030622263,13.84498259783393,32.36517114590435,3.373509264415498,5.433931040075168,19.36239330263421,58.862780200803726,1.3981144841611342,2.9896483125802518,17.93065987822053,43.62282132838767,37300.0
152,1323.0,6370.0,3090.0,3280.0,885.0,800.0,1500.0,2125.0,1065.0,60.0,10.0,30.0,2885.0,1020.0,750.0,315.0,785.0,2.2,590.0,2309.0,39.0,19.4,0.6,1.7,20.3,28.2,0.6,2.6,46.7,82.0,2.0,4.5,6.9,18.0,0.5,2.4,56.2,92.3,40400.0
153,1324.0,10430.0,5170.0,5260.0,1930.0,1370.0,2800.0,2795.0,1535.0,50.0,10.0,40.0,4705.0,1860.0,1060.0,660.0,1085.0,2.2,1370.0,2078.0,49.7,9.6,0.4,6.8,21.5,28.6,0.4,11.8,54.0,78.5,1.1,5.0,6.7,17.3,0.5,15.3,62.7,95.6,41200.0
154,1325.0,10490.0,5140.0,5350.0,1655.0,1715.0,2510.0,3405.0,1210.0,60.0,10.0,30.0,4660.0,1620.0,1065.0,600.0,1340.0,2.3,995.0,1509.0,34.4,22.4,1.7,1.7,17.2,26.8,0.5,5.0,48.8,76.4,1.2,4.7,6.0,16.0,0.4,5.3,53.7,86.3,38461.35128087712
155,1326.0,11395.0,5595.0,5800.0,1995.0,1815.0,2655.0,3745.0,1190.0,60.0,10.0,30.0,4485.0,1190.0,1020.0,610.0,1645.0,2.5,1005.0,1867.0,31.5,24.5,2.6,0.0,8.5,25.0,0.9,1.4,30.8,80.4,1.5,5.0,6.0,15.5,1.0,1.0,31.8,81.4,39255.60279492299
156,1327.0,4266.4387061492935,2118.6090103001106,2147.833586795035,671.8718847605471,529.6069487421628,1050.7581604148033,1198.0830750891555,816.0789587965149,83.97670281255559,8.305499375668019,6.4148773095443525,1957.5023911801086,750.3488891098856,555.2382958738427,142.7506570262016,499.14450854329147,2.289172224751985,352.61180383221733,1007.0,34.83306795983977,23.03462239697033,1.8584320360323137,2.3479281006064348,14.952668374358266,32.09343235148481,1.6501275868460334,3.3872593353022453,21.739841551889786,47.081362593312704,3.2417828403809263,7.812446627885794,21.85350968930046,63.196917897073476,1.3197133247625177,4.556066111649857,30.021823062499557,65.16921049287207,38085.79862235025
157,1328.0,9985.0,4930.0,5055.0,1990.0,1390.0,2660.0,2925.0,1025.0,50.0,10.0,40.0,3885.0,1040.0,910.0,430.0,1485.0,2.5,795.0,1686.0,28.4,24.3,3.2,0.0,1.0,23.1,0.6,1.4,13.2,80.0,2.8,4.9,6.0,13.7,0.9,0.6,9.5,76.1,33600.0
158,1329.0,4266.309211259182,2120.9056277953946,2145.2804878300917,674.4564018858897,524.9997363111406,1053.1724047047267,1199.4566511762555,813.9636032033044,83.85134569886117,8.211147760587366,6.229363940327474,1957.4357847712579,750.5146021577539,550.0009348538923,151.13014817974832,494.91926451895006,2.281608765935547,372.465308334024,905.0,35.66701982787229,21.750617198963823,1.9344621178921968,2.7841690022650294,15.800037532650373,37.38061124793024,1.8551523357724842,3.665784827607107,22.078413278893358,51.41509456319996,3.179044344942609,8.869019265445875,27.43980632983877,67.40212615124943,1.4218609280384813,4.746600911514934,28.48344523977085,68.94625030746822,26900.0
159,1331.0,210.0,115.0,95.0,30.0,35.0,45.0,75.0,25.0,90.0,10.0,0.0,80.0,20.0,25.0,3.9267872651931697,30.0,2.7,5.0,81.0,24.592817328839487,29.827068240181532,3.5,0.0,0.6,3.0,3.4,0.0,5.0,24.0,8.3,0.0,3.7,7.9,3.3,0.0,3.3,16.1,40000.0
160,1332.0,60.0,55.0,5.0,0.0,10.0,25.0,25.0,207.91664298723134,40.0,11.510396675811698,60.0,5.0,0.0,78.66302599518217,59.95604805012268,0.0,1.8,5.0,233.0,36.991188967759825,21.51125711973577,3.0,0.0,0.2,4.0,2.9,0.0,1.6,19.7,7.2,0.0,4.1,9.0,2.9,0.0,1.3,12.7,43700.0
161,1333.0,12585.0,6190.0,6395.0,2240.0,1670.0,3155.0,3945.0,1575.0,60.0,10.0,30.0,5370.0,1635.0,1370.0,795.0,1535.0,2.3,1485.0,1603.0,40.8,16.3,0.8,0.8,3.7,14.3,0.6,4.4,24.0,58.5,5.0,1.6,5.8,9.6,0.7,2.9,14.0,54.3,37900.0
162,1334.0,1965.0,875.0,1095.0,280.0,200.0,685.0,395.0,410.0,50.0,10.0,40.0,1040.0,555.0,190.0,150.0,135.0,1.8,260.0,2317.0,57.2,6.6,0.4,1.0,3.0,6.0,0.2,14.2,27.9,37.8,5.7,0.0,5.1,8.6,0.2,8.0,17.0,31.6,40100.0
163,1335.0,12245.0,6135.0,6110.0,2405.0,1890.0,3375.0,3775.0,800.0,50.0,10.0,30.0,4870.0,1415.0,965.0,650.0,1810.0,2.5,1095.0,1842.0,31.5,23.5,1.1,0.4,2.5,4.1,0.9,3.6,25.9,31.2,7.1,0.0,5.0,8.0,0.9,2.6,17.3,20.9,43400.0
164,1336.0,8560.0,4420.0,4145.0,2105.0,960.0,2865.0,2030.0,600.0,60.0,10.0,30.0,3185.0,835.0,705.0,315.0,1315.0,2.6,650.0,1149.0,27.2,28.0,2.2,0.0,1.0,2.3,0.7,1.1,11.6,26.5,8.4,0.0,4.3,8.4,0.8,2.2,8.9,17.3,63500.0
