pc4,INWONER_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW_HH,P_LINK_HH,P_HINK_HH,log_median_inc
1792.0,2.3421052631578947,0.5318352059925093,0.4681647940074906,0.15355805243445692,0.11610486891385766,0.18726591760299627,0.3445692883895131,0.19850187265917604,3.1,7.0,31.700000000000006,198.99999999999997,90.0,10.0,0.0,2.3,0.14912280701754385,26.4,26.3,10.561007555452925
1793.0,2.1818181818181817,0.5138888888888888,0.4861111111111111,0.09722222222222224,0.1388888888888889,0.1111111111111111,0.4027777777777778,0.25000000000000006,0.0,2.6,32.6,40.0,90.0,0.0,0.0,2.2,0.12121212121212124,29.5,28.3,10.288749953326773
1794.0,2.2672413793103448,0.4980988593155893,0.5019011406844106,0.1634980988593156,0.11026615969581746,0.20532319391634984,0.3269961977186312,0.19391634980988592,2.1,2.8,3.1,141.0,90.0,10.0,0.0,2.3,0.12931034482758622,32.1,22.7,10.468801361586188
1795.0,2.1559633027522938,0.5211864406779662,0.4788135593220339,0.13983050847457626,0.1059322033898305,0.1949152542372881,0.3474576271186441,0.21186440677966098,4.8,9.0,15.9,144.0,90.0,10.0,0.0,2.1,0.12844036697247707,34.8,22.0,10.221941283654663
1796.0,2.037313432835821,0.5036764705882353,0.4963235294117647,0.125,0.09558823529411764,0.22794117647058826,0.3345588235294117,0.21691176470588241,31.8,46.7,53.6,383.0,80.0,10.0,10.0,2.0,0.17164179104477612,41.1,22.4,10.328755287940472
1797.0,2.0412371134020617,0.4974874371859296,0.5025125628140703,0.09547738693467336,0.11055276381909546,0.1909547738693468,0.3165829145728643,0.2864321608040201,2.7,6.2,16.1,74.0,90.0,10.0,0.0,2.0,0.14432989690721648,35.0,24.7,10.505067539570582
1811.0,1.5531587057010785,0.5134061569016882,0.4865938430983118,0.0744047619047619,0.11309523809523808,0.4027777777777778,0.2767857142857143,0.13293650793650796,180.10000000000005,240.8,271.20000000000005,4019.0,80.0,10.0,10.0,1.6,0.13251155624036978,48.9,13.999999999999998,10.28534279500516
1812.0,2.142857142857143,0.5777777777777777,0.4222222222222222,0.08695652173913043,0.13043478260869565,0.17391304347826084,0.39130434782608703,0.21739130434782608,2.4000000000000004,103.4,244.90000000000003,982.0,90.0,10.0,0.0,2.1,0.19047619047619047,39.8,23.300000000000004,10.682812429337128
1813.0,2.042502951593861,0.4956622325043378,0.5043377674956623,0.1752458068247542,0.10815500289184499,0.3192596876807403,0.25101214574898784,0.14632735685367265,28.4,220.5,264.1,2566.0,60.0,10.0,30.0,2.0,0.3022432113341204,54.2,9.0,10.385913701780419
1814.0,2.1128668171557563,0.4681988241582042,0.5318011758417959,0.14957264957264954,0.1014957264957265,0.22863247863247865,0.26709401709401703,0.2532051282051282,55.70000000000001,232.7,273.1,3276.0,80.0,10.0,10.0,2.0,0.20993227990970656,47.9,19.1,10.797532675462964
