,pc4,AANTAL_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,AFS_TREINS,AFS_TRNOVS,AFS_OPRIT,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,P_UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
3167,8322,1995.0,50.611071171818836,49.38892882818117,35.80158159597412,12.221423436376707,34.36376707404745,11.933860531991373,1.9,14.3,1.6,5.679367361610352,1.0,45.1,53.40000000000001,970.0,100.0,0.0,0.0,3.4,3.1609195402298846,24.8,20.7,10.694215061434935
3168,8325,1775.0,50.0,50.0,17.92452830188679,10.495283018867923,24.17452830188679,26.41509433962264,3.0,12.6,1.7,20.99056603773585,0.0,38.8,52.0,522.0,90.0,10.0,0.0,2.3,7.0754716981132075,42.2,11.6,10.510532034042662
3169,8326,895.0,50.30549898167006,49.69450101832994,19.795918367346925,14.081632653061224,21.428571428571427,27.95918367346939,2.3,15.5,0.9,16.73469387755102,1.8,44.7,54.9,138.0,100.0,0.0,0.0,2.7,3.258655804480652,21.3,21.7,10.507803519389457
3170,8331,5205.0,49.11356013416387,50.88643986583613,13.60804983229516,11.020603737422137,22.184954480115,27.072352659319606,3.9,17.1,0.1,26.114039290848112,0.2,6.0,58.9,1267.0,90.0,10.0,10.0,1.9,12.697652132247244,,,10.524064040261237
3171,8332,2415.0,49.54280964256026,50.45719035743973,16.929460580912863,13.858921161825727,18.67219917012448,31.950207468879665,4.9,18.1,1.5,18.589211618257266,0.0,3.6,34.7,929.0,90.0,0.0,10.0,2.5,5.730897009966777,,,10.494048144320972
3172,8333,300.0,50.0,50.0,25.0,9.285714285714286,40.71428571428571,18.571428571428566,6.0,19.2,2.3,6.428571428571428,0.0,2.7,11.9,345.0,90.0,0.0,10.0,2.3,10.714285714285714,,,10.685103381083682
3173,8334,835.0,51.3317191283293,48.66828087167071,19.61259079903148,9.685230024213077,23.48668280871671,28.57142857142857,6.4,19.6,1.9,18.64406779661017,1.6,5.4,13.2,324.0,90.0,0.0,0.0,2.5,4.116222760290557,33.2,19.2,10.480100916840122
3174,8335,85.0,52.5,47.5,15.0,7.5,22.5,35.0,5.8,19.0,0.8,20.0,0.4,4.800000000000002,12.5,114.0,100.0,,,2.3,5.0,,,10.465956409453957
3175,8336,35.0,52.94117647058824,47.05882352941176,,,,,4.7,17.9,1.0,,1.6,4.199999999999998,38.9,48.0,90.0,10.0,,2.4,,47.3,16.1,10.661954199216716
3176,8337,95.0,55.26315789473685,44.73684210526316,10.810810810810812,13.513513513513514,18.91891891891892,37.83783783783784,6.8,20.0,0.9,18.91891891891892,0.0,2.5,10.4,41.0,90.0,10.0,,2.1,15.789473684210526,,,10.335269968961668
