pc4,AANTAL_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,AFS_TREINS,AFS_TRNOVS,AFS_OPRIT,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,P_UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
9086,95.0,0.5217391304347826,0.4782608695652174,0.2222222222222222,0.06666666666666668,0.15555555555555556,0.37777777777777777,7.5,8.5,2.0,0.17777777777777778,0.0,0.30000000000000004,3.6,428.0,100.0,0.0,,2.4,0.022222222222222227,39.2,19.2,
9087,15.0,0.5,0.5,0.18181818181818185,0.18181818181818185,0.18181818181818185,0.2727272727272727,10.8,10.8,4.8,0.18181818181818185,0.5,0.8,2.2,47.0,90.0,,,3.0,,,,10.422281345951298
9088,475.0,0.4912280701754386,0.5087719298245614,0.19298245614035087,0.10964912280701754,0.1973684210526316,0.31140350877192985,11.2,24.8,1.3,0.18859649122807007,11.3,29.6,33.7,146.0,90.0,0.0,0.0,2.4,0.07488986784140969,55.4,8.9,10.573877745973457
9089,260.0,0.5043478260869565,0.4956521739130435,0.14035087719298245,0.12280701754385966,0.2368421052631579,0.32456140350877194,12.3,25.5,2.1,0.17543859649122806,5.9,29.9,30.2,74.0,90.0,10.0,,2.2,0.07894736842105263,27.0,20.3,10.471638242921387
9091,85.0,0.5333333333333333,0.4666666666666667,0.17777777777777778,0.06666666666666668,0.2,0.2888888888888889,9.7,24.5,1.6,0.26666666666666666,0.4,29.7,36.2,19.0,90.0,0.0,,2.4,0.04444444444444445,27.1,23.6,10.292145542327912
9101,4195.0,0.484472049689441,0.515527950310559,0.15688487584650113,0.1066591422121896,0.22234762979683967,0.25,7.3,20.8,0.6,0.26410835214446954,3.5,6.8,21.2,988.0,90.0,0.0,0.0,2.1,0.10841332580463016,42.6,12.0,10.335269968961668
9102,405.0,0.4906542056074766,0.5093457943925234,0.18604651162790686,0.12558139534883722,0.2,0.3209302325581395,10.4,18.8,0.8,0.16744186046511628,0.9,1.3,7.6999999999999975,740.0,100.0,0.0,0.0,2.6,0.060747663551401876,34.6,16.9,10.288749953326773
9103,1025.0,0.4868913857677903,0.5131086142322098,0.1835205992509364,0.14794007490636704,0.16104868913857678,0.3408239700374532,12.3,21.3,2.1,0.16666666666666666,0.0,9.0,24.3,739.0,100.0,0.0,0.0,2.6,0.05243445692883896,,,
9104,2310.0,0.4973166368515206,0.5026833631484794,0.1638316920322292,0.12354521038495972,0.20948970456580127,0.2775290957923008,14.0,20.2,3.4,0.22560429722470904,0.0,0.30000000000000004,2.5,564.0,100.0,0.0,0.0,2.4,0.08236347358997315,,,10.451608961045816
9105,440.0,0.5394736842105263,0.4605263157894737,0.18859649122807007,0.13157894736842105,0.2280701754385965,0.2850877192982456,5.7,18.9,0.9,0.16666666666666666,1.8,6.2,11.6,113.0,100.0,0.0,0.0,2.6,0.06140350877192983,38.4,15.9,
9106,20.0,0.5,0.5,,,,,4.3,19.9,0.3,,0.2,5.0,17.0,28.0,100.0,,,2.2,,,,10.558413520275877
9107,20.0,0.5454545454545454,0.4545454545454545,0.2,0.2,0.2,0.3,12.3,16.3,2.9,0.1,1.9,2.0,2.2,9.0,90.0,,,2.8,,44.4,14.5,
9108,465.0,0.5084033613445378,0.4915966386554622,0.1906779661016949,0.1271186440677966,0.2288135593220339,0.2923728813559322,12.2,15.6,2.8,0.16101694915254236,1.5,2.0,2.6,167.0,100.0,0.0,0.0,2.5,0.06751054852320675,26.0,19.2,10.288749953326773
9109,90.0,0.5370370370370371,0.46296296296296297,0.1851851851851852,0.16666666666666666,0.2037037037037037,0.3148148148148148,6.3,23.2,2.1,0.12962962962962962,0.1,4.5,16.9,69.0,100.0,0.0,,2.9,0.05555555555555555,33.6,21.5,
9111,205.0,0.5,0.5,0.22,0.11,0.2,0.29,7.3,24.3,1.7,0.18,0.9,1.1,8.3,150.0,100.0,0.0,0.0,2.4,0.06,34.0,16.1,
9112,285.0,0.5407407407407407,0.4592592592592593,0.14925373134328354,0.1044776119402985,0.15671641791044774,0.35074626865671643,13.3,26.6,2.9,0.2388059701492537,0.1,24.70000000000001,30.8,144.0,90.0,0.0,0.0,2.4,0.04444444444444445,,,
9113,350.0,0.5306122448979592,0.4693877551020408,0.1836734693877551,0.1479591836734694,0.19387755102040816,0.30612244897959184,15.2,28.9,3.0,0.1683673469387755,0.0,0.6,24.6,131.0,100.0,0.0,0.0,2.8,0.05612244897959184,,,
9114,350.0,0.5257731958762887,0.4742268041237113,0.21649484536082475,0.13917525773195874,0.22164948453608246,0.28350515463917525,15.4,31.2,0.5,0.13917525773195874,1.0,1.5,4.2,110.0,100.0,0.0,0.0,2.8,0.061855670103092786,35.9,11.5,
9121,45.0,0.5416666666666666,0.4583333333333333,0.12,0.12,0.12,0.36,13.5,31.6,0.3,0.28,0.0,1.7,4.9,125.0,100.0,,,2.7,0.04166666666666666,,,10.477287975463508
9122,20.0,0.5,0.5,0.18181818181818185,0.09090909090909093,0.18181818181818185,0.3636363636363637,13.5,28.2,2.2,0.18181818181818185,0.9,4.3,28.5,10.0,90.0,,,2.3,,,,10.471638242921387
9123,345.0,0.4780219780219781,0.521978021978022,0.1878453038674033,0.1160220994475138,0.1933701657458564,0.2430939226519337,11.2,31.5,0.4,0.2596685082872928,0.8,1.1,4.4,138.0,100.0,0.0,0.0,2.4,0.06629834254143646,40.8,13.3,10.407288561365156
9124,15.0,0.5555555555555556,0.4444444444444444,,,,,10.9,34.1,0.3,,0.2,2.6,3.0,12.0,100.0,,,3.0,,42.7,12.1,10.485703172388794
9125,70.0,0.5135135135135135,0.4864864864864865,0.16666666666666666,0.1111111111111111,0.19444444444444445,0.3611111111111111,16.4,35.3,1.1,0.16666666666666666,1.8,4.3,6.9,67.0,100.0,0.0,,2.6,0.054054054054054064,39.5,13.9,10.419300717813158
9131,365.0,0.5235294117647059,0.4764705882352941,0.1812865497076024,0.12280701754385966,0.23391812865497075,0.2690058479532164,17.8,33.8,1.5,0.19298245614035087,0.9,1.5,6.2,95.0,100.0,0.0,0.0,2.3,0.05882352941176471,42.5,11.0,10.348173373797573
9132,245.0,0.5350877192982456,0.4649122807017544,0.1592920353982301,0.12389380530973453,0.22123893805309736,0.33628318584070804,16.5,32.6,0.5,0.1592920353982301,0.3,2.7,5.8000000000000025,63.0,90.0,10.0,0.0,2.2,0.10526315789473684,,,10.341742483467284
9133,490.0,0.5198237885462555,0.4801762114537445,0.19383259911894274,0.1013215859030837,0.2511013215859031,0.28634361233480177,20.8,36.1,3.8,0.16740088105726872,0.9,1.1,5.0,133.0,100.0,0.0,0.0,2.3,0.07929515418502202,38.9,17.6,
9134,150.0,0.4722222222222222,0.5277777777777778,0.2361111111111111,0.06944444444444445,0.25,0.2361111111111111,17.8,32.4,0.6,0.2083333333333333,0.9,2.2,4.8,66.0,90.0,0.0,,2.4,0.05555555555555555,33.0,18.3,
9135,100.0,0.5510204081632653,0.4489795918367347,0.1875,0.125,0.2083333333333333,0.2916666666666667,16.6,30.4,1.3,0.1875,0.0,1.9,3.8,60.0,100.0,0.0,,2.4,0.08333333333333333,38.3,16.8,
9136,105.0,0.5909090909090909,0.4090909090909091,0.08888888888888889,0.15555555555555556,0.17777777777777778,0.3555555555555556,21.4,34.3,2.2,0.2222222222222222,0.9,1.0,2.3,79.0,100.0,,,2.1,0.08888888888888889,50.9,12.4,
9137,365.0,0.5105263157894737,0.4894736842105264,0.21052631578947367,0.1263157894736842,0.22631578947368425,0.3,21.1,36.3,4.2,0.1368421052631579,0.9,1.0,4.3,109.0,100.0,0.0,0.0,2.6,0.036842105263157884,46.6,12.6,
9138,150.0,0.5277777777777778,0.4722222222222222,0.1267605633802817,0.14084507042253522,0.15492957746478872,0.3661971830985916,19.9,34.5,2.6,0.2112676056338028,0.0,1.9,3.8,58.0,100.0,0.0,,2.4,0.056338028169014086,50.5,8.6,
9141,170.0,0.5303030303030303,0.4696969696969697,0.12307692307692307,0.09230769230769233,0.15384615384615385,0.38461538461538464,17.4,30.6,1.9,0.2461538461538461,0.0,0.7,5.1,62.0,90.0,10.0,,1.9,0.1076923076923077,,,10.161998247687633
9142,105.0,0.5227272727272727,0.4772727272727273,0.13333333333333333,0.08888888888888889,0.2,0.3333333333333333,18.5,29.9,0.3,0.24444444444444444,0.9,1.9,3.4,86.0,90.0,0.0,0.0,2.1,0.09090909090909093,36.2,13.7,10.232791299678727
9143,190.0,0.5131578947368421,0.4868421052631579,0.13333333333333333,0.08,0.18666666666666668,0.3333333333333333,16.6,29.9,3.6,0.26666666666666666,0.0,0.4,10.5,60.0,90.0,0.0,0.0,2.0,0.13157894736842105,,,10.28534279500516
9144,90.0,0.5,0.5,0.17073170731707318,0.0975609756097561,0.1951219512195122,0.36585365853658536,16.3,28.2,2.5,0.17073170731707318,0.9,2.0,3.1,23.0,90.0,0.0,,2.4,0.07142857142857142,35.4,16.5,10.611523345589823
9145,530.0,0.5116279069767442,0.4883720930232558,0.17054263565891473,0.12790697674418605,0.2248062015503876,0.3023255813953488,14.5,26.8,2.3,0.1744186046511628,0.0,1.1,27.3,167.0,90.0,0.0,0.0,2.4,0.09302325581395347,,,10.482905967767731
9146,25.0,0.6153846153846154,0.38461538461538464,0.2307692307692308,0.07692307692307693,0.2307692307692308,0.3076923076923077,19.0,25.1,0.3,0.15384615384615385,3.5,5.0,7.1999999999999975,9.0,100.0,,,3.0,,50.4,8.9,
9147,160.0,0.5189873417721519,0.4810126582278481,0.2151898734177216,0.1139240506329114,0.26582278481012656,0.26582278481012656,17.3,26.2,0.3,0.13924050632911392,0.0,4.2,6.3,56.0,100.0,0.0,,2.5,0.05063291139240506,,,10.611523345589823
