Unnamed: 0,pc4,AANTAL_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,AFS_TREINS,AFS_TRNOVS,AFS_OPRIT,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,P_UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
7685.0,7685.0,370.0,53.80952380952381,46.19047619047619,20.95238095238096,14.285714285714285,21.428571428571427,27.619047619047624,4.1000000000000005,22.3,1.3,15.714285714285715,1.2,3.3000000000000003,9.9,65.0,100.0,0.0,0.0,2.8,5.7142857142857135,31.1,20.1,10.518673191626359
7686.0,7686.0,195.0,51.72413793103448,48.27586206896552,18.103448275862068,13.793103448275861,20.6896551724138,35.34482758620689,0.5,20.3,1.1,12.06896551724138,3.4000000000000004,7.800000000000001,13.700000000000001,159.0,100.0,0.0,0.0,3.0,5.172413793103448,24.8,21.5,10.601622274607113
7687.0,7687.0,455.0,52.10084033613446,47.89915966386555,18.907563025210084,13.445378151260506,23.949579831932766,29.411764705882355,5.6,16.9,0.6,14.285714285714285,2.1,6.4,13.900000000000002,175.0,100.0,0.0,0.0,2.6,5.882352941176472,31.4,21.6,10.44581184336149
7688.0,7688.0,509.99999999999994,50.70422535211267,49.29577464788733,19.366197183098592,13.380281690140848,22.183098591549285,27.816901408450715,8.6,19.5,0.6,17.253521126760564,0.8,2.5,6.5,71.0,100.0,0.0,0.0,2.8,3.873239436619718,34.5,17.8,10.789319076925574
7691.0,7691.0,1245.0,51.15942028985507,48.84057971014493,19.420289855072465,15.507246376811597,23.04347826086957,27.10144927536232,6.2,24.5,4.0,14.92753623188406,0.4,1.2000000000000002,4.4,239.0,100.0,0.0,0.0,2.8,4.782608695652174,26.9,23.1,10.72546760493904
7692.0,7692.0,315.0,52.432432432432435,47.567567567567565,22.702702702702705,16.216216216216214,23.24324324324325,23.783783783783782,3.8,25.2,1.0,14.054054054054054,0.0,7.5,33.8,112.0,100.0,0.0,0.0,3.0,4.3243243243243255,24.5,30.0,10.526669369434037
7693.0,7693.0,515.0,52.57731958762887,47.42268041237113,18.213058419243985,13.402061855670109,21.993127147766327,31.27147766323024,12.5,26.0,1.5,15.120274914089348,10.6,24.2,28.099999999999998,140.0,100.0,0.0,0.0,2.8,7.560137457044673,37.7,16.4,10.518673191626359
7694.0,7694.0,605.0,52.28758169934641,47.7124183006536,17.589576547231268,11.074918566775244,23.45276872964169,31.27035830618892,11.6,25.8,2.2,16.612377850162865,0.0,26.0,27.6,138.0,90.0,0.0,0.0,2.5,7.4918566775244315,21.7,23.1,10.395130356885344
7695.0,7695.0,405.0,51.81818181818182,48.18181818181818,17.272727272727273,14.09090909090909,20.0,31.818181818181817,12.4,26.4,1.8,16.818181818181817,0.0,0.5,19.9,57.0,100.0,0.0,0.0,2.7,4.5662100456621,25.8,24.2,10.360912399575003
7696.0,7696.0,105.0,50.847457627118644,49.152542372881356,16.94915254237288,11.864406779661017,20.33898305084746,33.89830508474576,12.4,20.0,1.2,16.94915254237288,1.8,5.500000000000001,10.0,48.0,90.0,10.0,0.0,2.8,3.3898305084745757,30.6,22.5,10.55581273857582
7701.0,7701.0,4985.0,50.41597337770383,49.58402662229617,17.519766957969207,12.068248023304202,22.471910112359552,28.048272992093207,10.9,16.0,0.8999999999999999,19.891801914273824,2.4,9.5,12.0,812.9999999999999,90.0,0.0,0.0,2.4,7.282563462338745,31.0,21.3,10.44581184336149
7702.0,7702.0,290.0,52.941176470588246,47.058823529411754,18.831168831168828,13.636363636363637,24.025974025974026,31.818181818181817,12.5,13.0,2.3,11.688311688311687,0.1,2.4,9.1,773.0,90.0,10.0,0.0,2.6,6.535947712418301,21.3,32.5,10.44581184336149
7705.0,7705.0,125.0,52.30769230769232,47.6923076923077,14.0625,15.625,15.625,39.0625,2.1,14.1,1.2,15.625,4.0,13.500000000000002,15.1,37.0,100.0,0.5,0.0,2.6,6.1538461538461515,32.3,19.7,10.770588040219511
