,pc4,INWONER,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
2168,6026,5200.0,0.4956772334293948,0.5043227665706052,0.14903846153846154,0.10384615384615385,0.20288461538461539,0.3,0.24423076923076922,2.5,17.1,33.3,553.0,90.0,10.0,0.0,2.3,310.0,26.3,26.9,10.621327345686446
2169,6027,1800.0,0.5166666666666667,0.48333333333333334,0.14444444444444443,0.1111111111111111,0.21388888888888888,0.31666666666666665,0.21388888888888888,2.0,7.7,25.7,209.0,90.0,10.0,0.0,2.4,90.0,30.1,25.0,10.558413520275876
2170,6028,740.0,0.5337837837837838,0.46621621621621623,0.1360544217687075,0.12244897959183673,0.2108843537414966,0.32653061224489793,0.20408163265306123,1.7,7.2,15.499999999999998,110.0,90.0,10.0,,2.5,35.0,28.7,22.8,10.613983371430686
2171,6029,1620.0,0.5277777777777778,0.4722222222222222,0.12962962962962962,0.10185185185185185,0.2345679012345679,0.3271604938271605,0.20679012345679013,6.500000000000001,11.3,14.1,100.0,90.0,10.0,0.0,2.3,200.0,35.8,21.2,10.596634733096073
2172,6031,10340.0,0.49661508704061896,0.503384912959381,0.1344294003868472,0.10831721470019343,0.2059961315280464,0.3051257253384913,0.24613152804642166,69.2,166.10000000000002,210.9,876.0,90.0,10.0,0.0,2.3,750.0,49.1,15.1,10.526748605631907
2173,6034,1545.0,0.5242718446601942,0.47572815533980584,0.13592233009708737,0.11650485436893204,0.22330097087378642,0.3333333333333333,0.19093851132686085,16.1,152.9,198.5,158.0,90.0,0.0,0.0,2.5,55.0,47.0,16.6,10.616437360392252
2174,6035,4070.0,0.5171990171990172,0.4828009828009828,0.13882063882063883,0.128992628992629,0.2076167076167076,0.3230958230958231,0.20147420147420148,16.6,141.4,202.39999999999998,246.0,90.0,10.0,0.0,2.4,220.0,52.7,8.3,10.513253124157023
2175,6037,1145.0,0.5109170305676856,0.4890829694323144,0.13537117903930132,0.1091703056768559,0.18777292576419213,0.35807860262008734,0.2096069868995633,8.0,151.3,203.20000000000002,89.0,90.0,10.0,0.0,2.3,70.0,64.3,4.5,10.566175525611365
2176,6039,5160.0,0.5058139534883721,0.4941860465116279,0.13372093023255813,0.11627906976744186,0.18604651162790697,0.30523255813953487,0.25872093023255816,10.7,140.7,204.4,534.0,80.0,10.0,0.0,2.3,360.0,52.3,10.0,10.626193535337618
2177,6041,11520.0,0.4887152777777778,0.5112847222222222,0.09114583333333333,0.10112847222222222,0.2556423611111111,0.2738715277777778,0.2782118055555556,4.0,57.599999999999994,184.8,1791.0,80.0,20.0,10.0,1.7,1005.0,22.2,30.5,10.613983371430686
2178,6042,9310.0,0.49355531686358756,0.5064446831364124,0.13487372380440624,0.10639441160666309,0.2525523911875336,0.2933906501880709,0.21278882321332618,9.9,24.800000000000004,65.4,1501.0,70.0,10.0,10.0,2.0,975.0,38.7,19.3,10.618885342030893
2179,6043,11715.0,0.49402220324508966,0.5059777967549103,0.16303883909517713,0.11267605633802817,0.24114383269312847,0.3026034997865984,0.18053777208706787,6.1,13.7,27.500000000000004,2110.0,50.0,20.0,30.0,2.1,1830.0,38.6,16.6,10.392067567354799
2180,6044,3310.0,0.5045317220543807,0.4954682779456193,0.18731117824773413,0.1404833836858006,0.2764350453172205,0.2688821752265861,0.1268882175226586,4.9,7.800000000000001,35.0,1990.0,40.0,20.0,40.0,2.2,705.0,39.8,15.7,10.513253124157023
2181,6045,5880.0,0.5025510204081632,0.49744897959183676,0.14625850340136054,0.1096938775510204,0.2695578231292517,0.28741496598639454,0.1870748299319728,9.8,15.5,38.1,1272.0,70.0,20.0,20.0,2.1,805.0,34.5,21.6,10.494048144320972
2182,6049,7725.0,0.49320388349514566,0.5067961165048543,0.20323624595469256,0.0964401294498382,0.2537216828478964,0.28867313915857606,0.15792880258899678,7.7,16.2,57.6,830.0,80.0,10.0,10.0,2.5,430.0,33.9,20.4,10.626193535337618
2183,6051,6930.0,0.5014430014430015,0.49855699855699853,0.1240981240981241,0.10245310245310245,0.20346320346320346,0.3203463203463203,0.24963924963924963,9.0,23.1,46.4,656.0,80.0,10.0,0.0,2.1,560.0,39.7,16.1,10.573877745973457
2184,6061,4000.0,0.495,0.505,0.12015018773466833,0.09637046307884856,0.2002503128911139,0.34167709637046306,0.24155193992490614,4.800000000000001,17.3,108.0,303.0,80.0,20.0,0.0,2.2,340.0,31.0,21.7,10.561007555452923
