pc4,INWONER,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
1682.0,205.0,0.575,0.425,0.19512195121951217,0.14634146341463417,0.1951219512195122,0.3414634146341464,0.12195121951219512,0.0,4.6,18.6,67.0,90.0,10.0,0.0,2.7,10.0,34.67333333333334,21.61,10.72546760493904
1683.0,215.0,0.5454545454545454,0.4545454545454545,0.18181818181818185,0.13636363636363635,0.2727272727272727,0.25,0.1590909090909091,0.2,5.0,21.2,121.0,90.0,10.0,0.0,2.6,15.0,32.82666666666666,23.206666666666663,10.604106747934773
1684.0,440.0,0.5113636363636364,0.4886363636363637,0.14942528735632185,0.13793103448275862,0.20689655172413796,0.3218390804597701,0.1839080459770115,0.0,4.1,16.1,96.0,90.0,10.0,0.0,2.4,30.0,28.1,28.6,10.542706391070515
1685.0,455.0,0.5222222222222223,0.4777777777777778,0.17582417582417584,0.13186813186813187,0.1978021978021978,0.3296703296703297,0.16483516483516486,0.0,3.6,36.0,493.99999999999994,90.0,10.0,0.0,2.5,20.0,29.7,30.8,10.72546760493904
1686.0,120.0,0.5,0.5,0.16666666666666666,0.16666666666666669,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,6.2,57.0,390.0,90.0,0.0,10.0,2.9,28.33333333333333,32.946666666666665,23.40666666666667,10.554180747371577
1687.0,6245.0,0.5164131305044035,0.4835868694955965,0.17614091273018415,0.12409927942353885,0.22177742193755007,0.28582866293034426,0.1921537229783827,2.7,6.1,22.7,584.0,90.0,0.0,0.0,2.5,525.0,24.2,30.6,10.510532034042662
1688.0,2455.0,0.5112016293279023,0.4887983706720978,0.17311608961303462,0.13034623217922606,0.20773930753564157,0.2769857433808554,0.2118126272912424,2.6,6.7,20.0,281.0,90.0,10.0,0.0,2.5,170.0,31.4,22.6,10.581521095286023
1689.0,17030.0,0.5033773861967694,0.4966226138032305,0.21080446271285966,0.10334703464474457,0.3112155020551967,0.2354668232530828,0.13916617733411624,2.3,25.9,119.8,1281.0,80.0,10.0,10.0,2.4,1395.0,34.5,19.0,10.680516217076775
1691.0,655.0,0.5267175572519084,0.4732824427480916,0.16666666666666666,0.09848484848484848,0.1893939393939394,0.3030303030303031,0.24242424242424246,2.2,3.5,14.9,66.0,90.0,10.0,0.0,2.5,40.0,23.5,31.3,10.604106747934773
1692.0,30.0,0.5,0.5,0.15702266645308313,0.12593784352823986,0.17635795876436966,0.3493462690482325,0.19133526220607486,1.1,4.9,19.2,22.0,90.0,5.666666666666665,0.0,2.6,34.16666666666666,30.56333333333333,27.493333333333332,10.542706391070515
1693.0,8054.999999999999,0.5083798882681564,0.4916201117318436,0.1601489757914339,0.12042209807572934,0.22036002482929856,0.3022967101179391,0.19677219118559897,4.300000000000002,14.2,29.100000000000005,589.0,90.0,10.0,0.0,2.3,570.0,36.5,21.9,10.468801361586188
1695.0,4185.0,0.4910394265232975,0.5089605734767025,0.13500597371565112,0.0991636798088411,0.16845878136200718,0.2747909199522103,0.3225806451612903,2.5,25.400000000000002,151.2,1641.0,90.0,10.0,0.0,2.2,245.0,30.5,23.0,10.42821608147111
1696.0,1520.0,0.5164473684210527,0.4835526315789474,0.1513157894736842,0.12828947368421054,0.22697368421052638,0.32894736842105265,0.16447368421052633,1.4,8.4,31.899999999999995,284.0,90.0,10.0,0.0,2.5,85.0,27.3,31.2,10.698739956033226
1697.0,840.0,0.5119047619047619,0.4880952380952381,0.11309523809523811,0.11309523809523808,0.16071428571428573,0.32142857142857145,0.2916666666666667,0.0,0.6000000000000001,43.6,141.0,90.0,10.0,0.0,2.2,35.0,26.3,23.1,10.691944912900398
1701.0,8770.0,0.5022805017103763,0.4977194982896237,0.1551625784369652,0.11580148317170563,0.22019395322304625,0.2509982886480319,0.257843696520251,10.4,44.2,70.4,1412.0,80.0,10.0,10.0,2.3,705.0,30.4,17.2,10.803648902480399
1702.0,8540.0,0.4912177985948478,0.5087822014051522,0.152989449003517,0.12426729191090269,0.1899179366940211,0.2637749120750293,0.2690504103165299,9.2,56.8,78.0,1947.0,80.0,10.0,10.0,2.3,810.0,36.3,15.2,10.60658506394924
1703.0,12645.0,0.5094861660079051,0.4905138339920949,0.14551206010280746,0.11071569790430999,0.2526690391459075,0.2791617240015817,0.21194147884539344,7.8,53.2,81.9,2163.0,80.0,10.0,10.0,2.1,1385.0,40.8,13.999999999999998,10.657259354912508
1704.0,8335.0,0.5144057623049221,0.485594237695078,0.1799640071985603,0.1349730053989202,0.26514697060587883,0.2837432513497301,0.13617276544691062,1.0,25.300000000000004,69.5,902.0000000000001,80.0,10.0,10.0,2.5,485.0,26.5,28.4,10.586584397242571
1705.0,17070.0,0.505858230814294,0.4941417691857059,0.23052138254247218,0.12360867018160515,0.2885178676039836,0.27035735207967193,0.08699472759226712,1.0,23.0,71.1,1746.9999999999998,80.0,10.0,10.0,2.6,1260.0,25.7,26.6,10.563594879017872
1706.0,1375.0,0.5109489051094891,0.489051094890511,0.2945454545454545,0.08363636363636362,0.4109090909090909,0.15636363636363634,0.054545454545454536,0.0,26.0,59.99999999999999,613.0,80.0,10.0,10.0,2.9,65.0,12.1,28.5,10.576432025778553
1711.0,1615.0,0.5339506172839507,0.4660493827160494,0.1609907120743034,0.0959752321981424,0.21671826625387003,0.3250773993808049,0.20123839009287925,0.8,3.8000000000000003,15.8,209.00000000000003,90.0,10.0,0.0,2.3,95.0,29.8,26.799999999999997,10.59162219127253
1713.0,5920.0,0.4953508030431107,0.5046491969568893,0.1729957805907173,0.13164556962025314,0.21940928270042198,0.2818565400843882,0.19409282700421943,2.8,5.8,21.1,615.0,90.0,0.0,0.0,2.5,355.0,28.1,25.7,10.689669599063263
1715.0,4210.0,0.5071258907363421,0.4928741092636579,0.166270783847981,0.1330166270783848,0.24109263657957247,0.2470308788598575,0.21258907363420426,2.6,9.6,16.1,594.0,90.0,10.0,0.0,2.3,170.0,31.3,24.1,10.647803019670473
1716.0,2210.0,0.5090497737556561,0.4909502262443439,0.14285714285714285,0.1360544217687075,0.19501133786848074,0.32653061224489793,0.19954648526077096,2.0,9.3,16.7,664.0,90.0,0.0,0.0,2.4,170.0,31.5,21.9,10.494048144320972
1718.0,4005.0000000000005,0.5056179775280899,0.4943820224719101,0.15730337078651685,0.11610486891385766,0.22971285892634213,0.27965043695380776,0.21722846441947566,2.9999999999999996,7.800000000000001,14.400000000000002,477.0,90.0,10.0,0.0,2.4,255.00000000000003,31.9,23.1,10.623763400484325
1719.0,470.0,0.5106382978723404,0.4893617021276596,0.14736842105263154,0.11578947368421053,0.16842105263157894,0.3263157894736842,0.24210526315789474,0.7,2.3,13.5,50.0,90.0,10.0,0.0,2.4,35.0,33.2,31.2,10.596634733096073
1721.0,6140.0,0.495928338762215,0.504071661237785,0.18322475570032573,0.12296416938110746,0.23452768729641693,0.2695439739413681,0.1897394136807818,5.5,33.800000000000004,88.7,816.0,90.0,10.0,10.0,2.5,330.0,27.4,28.9,10.545341438708524
1722.0,6015.0,0.4970906068162926,0.5029093931837074,0.15627597672485452,0.12136325852036575,0.19783873649210307,0.2917705735660848,0.23275145469659184,5.5,28.0,60.50000000000001,1101.0,90.0,10.0,10.0,2.4,425.0,27.3,25.7,10.596634733096073
1723.0,5610.0,0.4915254237288136,0.5084745762711864,0.1641391614629795,0.10704727921498661,0.2426404995539697,0.2711864406779661,0.2149866190900981,11.7,23.2,42.8,1147.0,90.0,10.0,10.0,2.2,400.0,36.2,18.5,10.809727948556784
1724.0,3940.0,0.5126903553299492,0.4873096446700508,0.14993646759847526,0.14104193138500637,0.2096569250317662,0.3456162642947904,0.15374841168996187,2.4,17.9,38.1,536.0,90.0,10.0,0.0,2.4,300.0,29.5,24.2,10.566175525611364
